code,name,province,city
130100,石家庄市,13,01
130200,唐山市,13,02
130300,秦皇岛市,13,03
130400,邯郸市,13,04
130500,邢台市,13,05
130600,保定市,13,06
130700,张家口市,13,07
130800,承德市,13,08
130900,沧州市,13,09
131000,廊坊市,13,10
131100,衡水市,13,11
140100,太原市,14,01
140200,大同市,14,02
140300,阳泉市,14,03
140400,长治市,14,04
140500,晋城市,14,05
140600,朔州市,14,06
140700,晋中市,14,07
140800,运城市,14,08
140900,忻州市,14,09
141000,临汾市,14,10
141100,吕梁市,14,11
150100,呼和浩特市,15,01
150200,包头市,15,02
150300,乌海市,15,03
150400,赤峰市,15,04
150500,通辽市,15,05
150600,鄂尔多斯市,15,06
150700,呼伦贝尔市,15,07
150800,巴彦淖尔市,15,08
150900,乌兰察布市,15,09
152200,兴安盟,15,22
152500,锡林郭勒盟,15,25
152900,阿拉善盟,15,29
210100,沈阳市,21,01
210200,大连市,21,02
210300,鞍山市,21,03
210400,抚顺市,21,04
210500,本溪市,21,05
210600,丹东市,21,06
210700,锦州市,21,07
210800,营口市,21,08
210900,阜新市,21,09
211000,辽阳市,21,10
211100,盘锦市,21,11
211200,铁岭市,21,12
211300,朝阳市,21,13
211400,葫芦岛市,21,14
220100,长春市,22,01
220200,吉林市,22,02
220300,四平市,22,03
220400,辽源市,22,04
220500,通化市,22,05
220600,白山市,22,06
220700,松原市,22,07
220800,白城市,22,08
222400,延边朝鲜族自治州,22,24
230100,哈尔滨市,23,01
230200,齐齐哈尔市,23,02
230300,鸡西市,23,03
230400,鹤岗市,23,04
230500,双鸭山市,23,05
230600,大庆市,23,06
230700,伊春市,23,07
230800,佳木斯市,23,08
230900,七台河市,23,09
231000,牡丹江市,23,10
231100,黑河市,23,11
231200,绥化市,23,12
232700,大兴安岭地区,23,27
320100,南京市,32,01
320200,无锡市,32,02
320300,徐州市,32,03
320400,常州市,32,04
320500,苏州市,32,05
320600,南通市,32,06
320700,连云港市,32,07
320800,淮安市,32,08
320900,盐城市,32,09
321000,扬州市,32,10
321100,镇江市,32,11
321200,泰州市,32,12
