code,name,province,city
01,东城区,11,01
02,西城区,11,01
05,朝阳区,11,01
06,丰台区,11,01
07,石景山区,11,01
08,海淀区,11,01
09,门头沟区,11,01
11,房山区,11,01
12,通州区,11,01
13,顺义区,11,01
14,昌平区,11,01
15,大兴区,11,01
16,怀柔区,11,01
17,平谷区,11,01
18,密云区,11,01
19,延庆区,11,01
01,和平区,12,01
02,河东区,12,01
03,河西区,12,01
04,南开区,12,01
05,河北区,12,01
06,红桥区,12,01
10,东丽区,12,01
11,西青区,12,01
12,津南区,12,01
13,北辰区,12,01
14,武清区,12,01
15,宝坻区,12,01
16,滨海新区,12,01
17,宁河区,12,01
18,静海区,12,01
19,蓟州区,12,01
02,长安区,13,01
04,桥西区,13,01
05,新华区,13,01
07,井陉矿区,13,01
08,裕华区,13,01
09,藁城区,13,01
10,鹿泉区,13,01
11,栾城区,13,01
21,井陉县,13,01
23,正定县,13,01
25,行唐县,13,01
26,灵寿县,13,01
27,高邑县,13,01
28,深泽县,13,01
29,赞皇县,13,01
30,无极县,13,01
31,平山县,13,01
32,元氏县,13,01
33,赵县,13,01
81,辛集市,13,01
83,晋州市,13,01
84,新乐市,13,01
02,路南区,13,02
03,路北区,13,02
04,古冶区,13,02
05,开平区,13,02
07,丰南区,13,02
08,丰润区,13,02
09,曹妃甸区,13,02
24,滦南县,13,02
25,乐亭县,13,02
27,迁西县,13,02
29,玉田县,13,02
81,遵化市,13,02
83,迁安市,13,02
84,滦州市,13,02
02,海港区,13,03
03,山海关区,13,03
04,北戴河区,13,03
06,抚宁区,13,03
21,青龙满族自治县,13,03
22,昌黎县,13,03
24,卢龙县,13,03
02,邯山区,13,04
03,丛台区,13,04
04,复兴区,13,04
06,峰峰矿区,13,04
07,肥乡区,13,04
08,永年区,13,04
23,临漳县,13,04
24,成安县,13,04
25,大名县,13,04
26,涉县,13,04
27,磁县,13,04
30,邱县,13,04
31,鸡泽县,13,04
32,广平县,13,04
33,馆陶县,13,04
34,魏县,13,04
35,曲周县,13,04
81,武安市,13,04
02,桥东区,13,05
03,桥西区,13,05
21,邢台县,13,05
22,临城县,13,05
23,内丘县,13,05
24,柏乡县,13,05
25,隆尧县,13,05
26,任县,13,05
27,南和县,13,05
28,宁晋县,13,05
29,巨鹿县,13,05
30,新河县,13,05
31,广宗县,13,05
32,平乡县,13,05
33,威县,13,05
34,清河县,13,05
35,临西县,13,05
81,南宫市,13,05
82,沙河市,13,05
02,竞秀区,13,06
06,莲池区,13,06
07,满城区,13,06
08,清苑区,13,06
09,徐水区,13,06
23,涞水县,13,06
24,阜平县,13,06
26,定兴县,13,06
27,唐县,13,06
28,高阳县,13,06
29,容城县,13,06
30,涞源县,13,06
31,望都县,13,06
32,安新县,13,06
33,易县,13,06
34,曲阳县,13,06
35,蠡县,13,06
36,顺平县,13,06
37,博野县,13,06
38,雄县,13,06
81,涿州市,13,06
82,定州市,13,06
83,安国市,13,06
84,高碑店市,13,06
02,桥东区,13,07
03,桥西区,13,07
05,宣化区,13,07
06,下花园区,13,07
08,万全区,13,07
09,崇礼区,13,07
22,张北县,13,07
23,康保县,13,07
24,沽源县,13,07
25,尚义县,13,07
26,蔚县,13,07
27,阳原县,13,07
28,怀安县,13,07
30,怀来县,13,07
31,涿鹿县,13,07
32,赤城县,13,07
02,双桥区,13,08
03,双滦区,13,08
04,鹰手营子矿区,13,08
21,承德县,13,08
22,兴隆县,13,08
24,滦平县,13,08
25,隆化县,13,08
26,丰宁满族自治县,13,08
27,宽城满族自治县,13,08
28,围场满族蒙古族自治县,13,08
81,平泉市,13,08
02,新华区,13,09
03,运河区,13,09
21,沧县,13,09
22,青县,13,09
23,东光县,13,09
24,海兴县,13,09
25,盐山县,13,09
26,肃宁县,13,09
27,南皮县,13,09
28,吴桥县,13,09
29,献县,13,09
30,孟村回族自治县,13,09
81,泊头市,13,09
82,任丘市,13,09
83,黄骅市,13,09
84,河间市,13,09
02,安次区,13,10
03,广阳区,13,10
22,固安县,13,10
23,永清县,13,10
24,香河县,13,10
25,大城县,13,10
26,文安县,13,10
28,大厂回族自治县,13,10
81,霸州市,13,10
82,三河市,13,10
02,桃城区,13,11
03,冀州区,13,11
21,枣强县,13,11
22,武邑县,13,11
23,武强县,13,11
24,饶阳县,13,11
25,安平县,13,11
26,故城县,13,11
27,景县,13,11
28,阜城县,13,11
82,深州市,13,11
05,小店区,14,01
06,迎泽区,14,01
07,杏花岭区,14,01
08,尖草坪区,14,01
09,万柏林区,14,01
10,晋源区,14,01
21,清徐县,14,01
22,阳曲县,14,01
23,娄烦县,14,01
81,古交市,14,01
12,新荣区,14,02
13,平城区,14,02
14,云冈区,14,02
15,云州区,14,02
21,阳高县,14,02
22,天镇县,14,02
23,广灵县,14,02
24,灵丘县,14,02
25,浑源县,14,02
26,左云县,14,02
02,城区,14,03
03,矿区,14,03
11,郊区,14,03
21,平定县,14,03
22,盂县,14,03
03,潞州区,14,04
04,上党区,14,04
05,屯留区,14,04
06,潞城区,14,04
23,襄垣县,14,04
25,平顺县,14,04
26,黎城县,14,04
27,壶关县,14,04
28,长子县,14,04
29,武乡县,14,04
30,沁县,14,04
31,沁源县,14,04
02,城区,14,05
21,沁水县,14,05
22,阳城县,14,05
24,陵川县,14,05
25,泽州县,14,05
81,高平市,14,05
02,朔城区,14,06
03,平鲁区,14,06
21,山阴县,14,06
22,应县,14,06
23,右玉县,14,06
81,怀仁市,14,06
02,榆次区,14,07
21,榆社县,14,07
22,左权县,14,07
23,和顺县,14,07
24,昔阳县,14,07
25,寿阳县,14,07
26,太谷县,14,07
27,祁县,14,07
28,平遥县,14,07
29,灵石县,14,07
81,介休市,14,07
02,盐湖区,14,08
21,临猗县,14,08
22,万荣县,14,08
23,闻喜县,14,08
24,稷山县,14,08
25,新绛县,14,08
26,绛县,14,08
27,垣曲县,14,08
28,夏县,14,08
29,平陆县,14,08
30,芮城县,14,08
81,永济市,14,08
82,河津市,14,08
02,忻府区,14,09
21,定襄县,14,09
22,五台县,14,09
23,代县,14,09
24,繁峙县,14,09
25,宁武县,14,09
26,静乐县,14,09
27,神池县,14,09
28,五寨县,14,09
29,岢岚县,14,09
30,河曲县,14,09
31,保德县,14,09
32,偏关县,14,09
81,原平市,14,09
02,尧都区,14,10
21,曲沃县,14,10
22,翼城县,14,10
23,襄汾县,14,10
24,洪洞县,14,10
25,古县,14,10
26,安泽县,14,10
27,浮山县,14,10
28,吉县,14,10
29,乡宁县,14,10
30,大宁县,14,10
31,隰县,14,10
32,永和县,14,10
33,蒲县,14,10
34,汾西县,14,10
81,侯马市,14,10
82,霍州市,14,10
02,离石区,14,11
21,文水县,14,11
22,交城县,14,11
23,兴县,14,11
24,临县,14,11
25,柳林县,14,11
26,石楼县,14,11
27,岚县,14,11
28,方山县,14,11
29,中阳县,14,11
30,交口县,14,11
81,孝义市,14,11
82,汾阳市,14,11
02,新城区,15,01
03,回民区,15,01
04,玉泉区,15,01
05,赛罕区,15,01
21,土默特左旗,15,01
22,托克托县,15,01
23,和林格尔县,15,01
24,清水河县,15,01
25,武川县,15,01
02,东河区,15,02
03,昆都仑区,15,02
04,青山区,15,02
05,石拐区,15,02
06,白云鄂博矿区,15,02
07,九原区,15,02
21,土默特右旗,15,02
22,固阳县,15,02
23,达尔罕茂明安联合旗,15,02
02,海勃湾区,15,03
03,海南区,15,03
04,乌达区,15,03
02,红山区,15,04
03,元宝山区,15,04
04,松山区,15,04
21,阿鲁科尔沁旗,15,04
22,巴林左旗,15,04
23,巴林右旗,15,04
24,林西县,15,04
25,克什克腾旗,15,04
26,翁牛特旗,15,04
28,喀喇沁旗,15,04
29,宁城县,15,04
30,敖汉旗,15,04
02,科尔沁区,15,05
21,科尔沁左翼中旗,15,05
22,科尔沁左翼后旗,15,05
23,开鲁县,15,05
24,库伦旗,15,05
25,奈曼旗,15,05
26,扎鲁特旗,15,05
81,霍林郭勒市,15,05
02,东胜区,15,06
03,康巴什区,15,06
21,达拉特旗,15,06
22,准格尔旗,15,06
23,鄂托克前旗,15,06
24,鄂托克旗,15,06
25,杭锦旗,15,06
26,乌审旗,15,06
27,伊金霍洛旗,15,06
02,海拉尔区,15,07
03,扎赉诺尔区,15,07
21,阿荣旗,15,07
22,莫力达瓦达斡尔族自治旗,15,07
23,鄂伦春自治旗,15,07
24,鄂温克族自治旗,15,07
25,陈巴尔虎旗,15,07
26,新巴尔虎左旗,15,07
27,新巴尔虎右旗,15,07
81,满洲里市,15,07
82,牙克石市,15,07
83,扎兰屯市,15,07
84,额尔古纳市,15,07
85,根河市,15,07
02,临河区,15,08
21,五原县,15,08
22,磴口县,15,08
23,乌拉特前旗,15,08
24,乌拉特中旗,15,08
25,乌拉特后旗,15,08
26,杭锦后旗,15,08
02,集宁区,15,09
21,卓资县,15,09
22,化德县,15,09
23,商都县,15,09
24,兴和县,15,09
25,凉城县,15,09
26,察哈尔右翼前旗,15,09
27,察哈尔右翼中旗,15,09
28,察哈尔右翼后旗,15,09
29,四子王旗,15,09
81,丰镇市,15,09
01,乌兰浩特市,15,22
02,阿尔山市,15,22
21,科尔沁右翼前旗,15,22
22,科尔沁右翼中旗,15,22
23,扎赉特旗,15,22
24,突泉县,15,22
01,二连浩特市,15,25
02,锡林浩特市,15,25
22,阿巴嘎旗,15,25
23,苏尼特左旗,15,25
24,苏尼特右旗,15,25
25,东乌珠穆沁旗,15,25
26,西乌珠穆沁旗,15,25
27,太仆寺旗,15,25
28,镶黄旗,15,25
29,正镶白旗,15,25
30,正蓝旗,15,25
31,多伦县,15,25
21,阿拉善左旗,15,29
22,阿拉善右旗,15,29
23,额济纳旗,15,29
02,和平区,21,01
03,沈河区,21,01
04,大东区,21,01
05,皇姑区,21,01
06,铁西区,21,01
11,苏家屯区,21,01
12,浑南区,21,01
13,沈北新区,21,01
14,于洪区,21,01
15,辽中区,21,01
23,康平县,21,01
24,法库县,21,01
81,新民市,21,01
02,中山区,21,02
03,西岗区,21,02
04,沙河口区,21,02
11,甘井子区,21,02
12,旅顺口区,21,02
13,金州区,21,02
14,普兰店区,21,02
24,长海县,21,02
81,瓦房店市,21,02
83,庄河市,21,02
02,铁东区,21,03
03,铁西区,21,03
04,立山区,21,03
11,千山区,21,03
21,台安县,21,03
23,岫岩满族自治县,21,03
81,海城市,21,03
02,新抚区,21,04
03,东洲区,21,04
04,望花区,21,04
11,顺城区,21,04
21,抚顺县,21,04
22,新宾满族自治县,21,04
23,清原满族自治县,21,04
02,平山区,21,05
03,溪湖区,21,05
04,明山区,21,05
05,南芬区,21,05
21,本溪满族自治县,21,05
22,桓仁满族自治县,21,05
02,元宝区,21,06
03,振兴区,21,06
04,振安区,21,06
24,宽甸满族自治县,21,06
81,东港市,21,06
82,凤城市,21,06
02,古塔区,21,07
03,凌河区,21,07
11,太和区,21,07
26,黑山县,21,07
27,义县,21,07
81,凌海市,21,07
82,北镇市,21,07
02,站前区,21,08
03,西市区,21,08
04,鲅鱼圈区,21,08
11,老边区,21,08
81,盖州市,21,08
82,大石桥市,21,08
02,海州区,21,09
03,新邱区,21,09
04,太平区,21,09
05,清河门区,21,09
11,细河区,21,09
21,阜新蒙古族自治县,21,09
22,彰武县,21,09
02,白塔区,21,10
03,文圣区,21,10
04,宏伟区,21,10
05,弓长岭区,21,10
11,太子河区,21,10
21,辽阳县,21,10
81,灯塔市,21,10
02,双台子区,21,11
03,兴隆台区,21,11
04,大洼区,21,11
22,盘山县,21,11
02,银州区,21,12
04,清河区,21,12
21,铁岭县,21,12
23,西丰县,21,12
24,昌图县,21,12
81,调兵山市,21,12
82,开原市,21,12
02,双塔区,21,13
03,龙城区,21,13
21,朝阳县,21,13
22,建平县,21,13
24,喀喇沁左翼蒙古族自治县,21,13
81,北票市,21,13
82,凌源市,21,13
02,连山区,21,14
03,龙港区,21,14
04,南票区,21,14
21,绥中县,21,14
22,建昌县,21,14
81,兴城市,21,14
02,南关区,22,01
03,宽城区,22,01
04,朝阳区,22,01
05,二道区,22,01
06,绿园区,22,01
12,双阳区,22,01
13,九台区,22,01
22,农安县,22,01
82,榆树市,22,01
83,德惠市,22,01
02,昌邑区,22,02
03,龙潭区,22,02
04,船营区,22,02
11,丰满区,22,02
21,永吉县,22,02
81,蛟河市,22,02
82,桦甸市,22,02
