code,name,province,city,area,town
110101001000,东华门街道,11,01,01,001000
110101002000,景山街道,11,01,01,002000
110101003000,交道口街道,11,01,01,003000
110101004000,安定门街道,11,01,01,004000
110101005000,北新桥街道,11,01,01,005000
110101006000,东四街道,11,01,01,006000
110101007000,朝阳门街道,11,01,01,007000
110101008000,建国门街道,11,01,01,008000
110101009000,东直门街道,11,01,01,009000
110101010000,和平里街道,11,01,01,010000
110101011000,前门街道,11,01,01,011000
110101012000,崇文门外街道,11,01,01,012000
110101013000,东花市街道,11,01,01,013000
110101014000,龙潭街道,11,01,01,014000
110101015000,体育馆路街道,11,01,01,015000
110101016000,天坛街道,11,01,01,016000
110101017000,永定门外街道,11,01,01,017000
110102001000,西长安街街道,11,01,02,001000
110102003000,新街口街道,11,01,02,003000
110102007000,月坛街道,11,01,02,007000
110102009000,展览路街道,11,01,02,009000
110102010000,德胜街道,11,01,02,010000
110102011000,金融街街道,11,01,02,011000
110102012000,什刹海街道,11,01,02,012000
110102013000,大栅栏街道,11,01,02,013000
110102014000,天桥街道,11,01,02,014000
110102015000,椿树街道,11,01,02,015000
110102016000,陶然亭街道,11,01,02,016000
110102017000,广安门内街道,11,01,02,017000
110102018000,牛街街道,11,01,02,018000
110102019000,白纸坊街道,11,01,02,019000
110102020000,广安门外街道,11,01,02,020000
110105001000,建外街道,11,01,05,001000
110105002000,朝外街道,11,01,05,002000
110105003000,呼家楼街道,11,01,05,003000
110105004000,三里屯街道,11,01,05,004000
110105005000,左家庄街道,11,01,05,005000
110105006000,香河园街道,11,01,05,006000
110105007000,和平街街道,11,01,05,007000
110105008000,安贞街道,11,01,05,008000
110105009000,亚运村街道,11,01,05,009000
110105010000,小关街道,11,01,05,010000
110105011000,酒仙桥街道,11,01,05,011000
110105012000,麦子店街道,11,01,05,012000
110105013000,团结湖街道,11,01,05,013000
110105014000,六里屯街道,11,01,05,014000
110105015000,八里庄街道,11,01,05,015000
110105016000,双井街道,11,01,05,016000
110105017000,劲松街道,11,01,05,017000
110105018000,潘家园街道,11,01,05,018000
110105019000,垡头街道,11,01,05,019000
110105021000,南磨房地区,11,01,05,021000
110105022000,高碑店地区,11,01,05,022000
110105023000,将台地区,11,01,05,023000
110105024000,太阳宫地区,11,01,05,024000
110105025000,大屯街道,11,01,05,025000
110105026000,望京街道,11,01,05,026000
110105027000,小红门地区,11,01,05,027000
110105028000,十八里店地区,11,01,05,028000
110105029000,平房地区,11,01,05,029000
110105030000,东风地区,11,01,05,030000
110105031000,奥运村街道,11,01,05,031000
110105032000,来广营地区,11,01,05,032000
110105033000,常营地区,11,01,05,033000
110105034000,三间房地区,11,01,05,034000
110105035000,管庄地区,11,01,05,035000
110105036000,金盏地区,11,01,05,036000
110105037000,孙河地区,11,01,05,037000
110105038000,崔各庄地区,11,01,05,038000
110105039000,东坝地区,11,01,05,039000
110105040000,黑庄户地区,11,01,05,040000
110105041000,豆各庄地区,11,01,05,041000
110105042000,王四营地区,11,01,05,042000
110105043000,东湖街道,11,01,05,043000
110105400000,首都机场街道,11,01,05,400000
110106001000,右安门街道,11,01,06,001000
110106002000,太平桥街道,11,01,06,002000
110106003000,西罗园街道,11,01,06,003000
110106004000,大红门街道,11,01,06,004000
110106005000,南苑街道,11,01,06,005000
110106006000,东高地街道,11,01,06,006000
110106007000,东铁匠营街道,11,01,06,007000
110106008000,卢沟桥街道,11,01,06,008000
110106009000,丰台街道,11,01,06,009000
110106010000,新村街道,11,01,06,010000
110106011000,长辛店街道,11,01,06,011000
110106012000,云岗街道,11,01,06,012000
110106013000,方庄地区,11,01,06,013000
110106014000,宛平城地区,11,01,06,014000
110106015000,马家堡街道,11,01,06,015000
110106016000,和义街道,11,01,06,016000
110106017000,卢沟桥地区,11,01,06,017000
110106018000,花乡地区,11,01,06,018000
110106019000,南苑地区,11,01,06,019000
110106100000,长辛店镇,11,01,06,100000
110106101000,王佐镇,11,01,06,101000
110107001000,八宝山街道,11,01,07,001000
110107002000,老山街道,11,01,07,002000
110107003000,八角街道,11,01,07,003000
110107004000,古城街道,11,01,07,004000
110107005000,苹果园街道,11,01,07,005000
110107006000,金顶街街道,11,01,07,006000
110107009000,广宁街道,11,01,07,009000
110107010000,五里坨街道,11,01,07,010000
110107011000,鲁谷街道,11,01,07,011000
110108001000,万寿路街道,11,01,08,001000
110108002000,永定路街道,11,01,08,002000
110108003000,羊坊店街道,11,01,08,003000
110108004000,甘家口街道,11,01,08,004000
110108005000,八里庄街道,11,01,08,005000
110108006000,紫竹院街道,11,01,08,006000
110108007000,北下关街道,11,01,08,007000
110108008000,北太平庄街道,11,01,08,008000
110108010000,学院路街道,11,01,08,010000
110108011000,中关村街道,11,01,08,011000
110108012000,海淀街道,11,01,08,012000
110108013000,青龙桥街道,11,01,08,013000
110108014000,清华园街道,11,01,08,014000
110108015000,燕园街道,11,01,08,015000
110108016000,香山街道,11,01,08,016000
110108017000,清河街道,11,01,08,017000
110108018000,花园路街道,11,01,08,018000
110108019000,西三旗街道,11,01,08,019000
110108020000,马连洼街道,11,01,08,020000
110108021000,田村路街道,11,01,08,021000
110108022000,上地街道,11,01,08,022000
110108023000,万柳地区,11,01,08,023000
110108024000,东升地区,11,01,08,024000
110108025000,曙光街道,11,01,08,025000
110108026000,温泉地区,11,01,08,026000
110108027000,四季青地区,11,01,08,027000
110108028000,西北旺地区,11,01,08,028000
110108029000,苏家坨地区,11,01,08,029000
110108030000,上庄地区,11,01,08,030000
110109001000,大峪街道,11,01,09,001000
110109002000,城子街道,11,01,09,002000
110109003000,东辛房街道,11,01,09,003000
110109004000,大台街道,11,01,09,004000
110109005000,王平地区,11,01,09,005000
110109006000,永定地区,11,01,09,006000
110109007000,龙泉地区,11,01,09,007000
110109101000,潭柘寺镇,11,01,09,101000
110109104000,军庄镇,11,01,09,104000
110109105000,雁翅镇,11,01,09,105000
110109106000,斋堂镇,11,01,09,106000
110109107000,清水镇,11,01,09,107000
110109108000,妙峰山镇,11,01,09,108000
110111001000,城关街道,11,01,11,001000
110111002000,新镇街道,11,01,11,002000
110111004000,向阳街道,11,01,11,004000
110111005000,东风街道,11,01,11,005000
110111006000,迎风街道,11,01,11,006000
110111007000,星城街道,11,01,11,007000
110111008000,良乡地区,11,01,11,008000
110111009000,周口店地区,11,01,11,009000
110111010000,琉璃河地区,11,01,11,010000
110111011000,拱辰街道,11,01,11,011000
110111012000,西潞街道,11,01,11,012000
110111101000,阎村镇,11,01,11,101000
110111103000,窦店镇,11,01,11,103000
110111104000,石楼镇,11,01,11,104000
110111105000,长阳镇,11,01,11,105000
110111107000,河北镇,11,01,11,107000
110111108000,长沟镇,11,01,11,108000
110111109000,大石窝镇,11,01,11,109000
110111110000,张坊镇,11,01,11,110000
110111111000,十渡镇,11,01,11,111000
110111112000,青龙湖镇,11,01,11,112000
110111115000,韩村河镇,11,01,11,115000
110111208000,霞云岭乡,11,01,11,208000
110111209000,南窖乡,11,01,11,209000
110111210000,佛子庄乡,11,01,11,210000
110111211000,大安山乡,11,01,11,211000
110111212000,史家营乡,11,01,11,212000
110111213000,蒲洼乡,11,01,11,213000
110112001000,中仓街道,11,01,12,001000
110112002000,新华街道,11,01,12,002000
110112003000,北苑街道,11,01,12,003000
110112004000,玉桥街道,11,01,12,004000
110112005000,永顺地区,11,01,12,005000
110112006000,梨园地区,11,01,12,006000
110112007000,潞源街道,11,01,12,007000
110112008000,通运街道,11,01,12,008000
110112104000,宋庄镇,11,01,12,104000
110112105000,张家湾镇,11,01,12,105000
110112106000,漷县镇,11,01,12,106000
110112109000,马驹桥镇,11,01,12,109000
110112110000,西集镇,11,01,12,110000
110112114000,台湖镇,11,01,12,114000
110112117000,永乐店镇,11,01,12,117000
110112119000,潞城镇,11,01,12,119000
110112209000,于家务回族乡,11,01,12,209000
110113001000,胜利街道,11,01,13,001000
110113002000,光明街道,11,01,13,002000
110113003000,仁和地区,11,01,13,003000
110113004000,后沙峪地区,11,01,13,004000
110113005000,天竺地区,11,01,13,005000
