code,name,province,city,area
110101,东城区,11,01,01
110102,西城区,11,01,02
110105,朝阳区,11,01,05
110106,丰台区,11,01,06
110107,石景山区,11,01,07
110108,海淀区,11,01,08
110109,门头沟区,11,01,09
110111,房山区,11,01,11
110112,通州区,11,01,12
110113,顺义区,11,01,13
110114,昌平区,11,01,14
110115,大兴区,11,01,15
110116,怀柔区,11,01,16
110117,平谷区,11,01,17
110118,密云区,11,01,18
110119,延庆区,11,01,19
120101,和平区,12,01,01
120102,河东区,12,01,02
120103,河西区,12,01,03
120104,南开区,12,01,04
120105,河北区,12,01,05
120106,红桥区,12,01,06
120110,东丽区,12,01,10
120111,西青区,12,01,11
120112,津南区,12,01,12
120113,北辰区,12,01,13
120114,武清区,12,01,14
120115,宝坻区,12,01,15
120116,滨海新区,12,01,16
120117,宁河区,12,01,17
120118,静海区,12,01,18
120119,蓟州区,12,01,19
130102,长安区,13,01,02
130104,桥西区,13,01,04
130105,新华区,13,01,05
130107,井陉矿区,13,01,07
130108,裕华区,13,01,08
130109,藁城区,13,01,09
130110,鹿泉区,13,01,10
130111,栾城区,13,01,11
130121,井陉县,13,01,21
130123,正定县,13,01,23
130125,行唐县,13,01,25
130126,灵寿县,13,01,26
130127,高邑县,13,01,27
130128,深泽县,13,01,28
130129,赞皇县,13,01,29
130130,无极县,13,01,30
130131,平山县,13,01,31
130132,元氏县,13,01,32
130133,赵县,13,01,33
130181,辛集市,13,01,81
130183,晋州市,13,01,83
130184,新乐市,13,01,84
130202,路南区,13,02,02
130203,路北区,13,02,03
130204,古冶区,13,02,04
130205,开平区,13,02,05
130207,丰南区,13,02,07
130208,丰润区,13,02,08
130209,曹妃甸区,13,02,09
130224,滦南县,13,02,24
130225,乐亭县,13,02,25
130227,迁西县,13,02,27
130229,玉田县,13,02,29
130281,遵化市,13,02,81
130283,迁安市,13,02,83
130284,滦州市,13,02,84
130302,海港区,13,03,02
130303,山海关区,13,03,03
130304,北戴河区,13,03,04
130306,抚宁区,13,03,06
130321,青龙满族自治县,13,03,21
130322,昌黎县,13,03,22
130324,卢龙县,13,03,24
130402,邯山区,13,04,02
130403,丛台区,13,04,03
130404,复兴区,13,04,04
130406,峰峰矿区,13,04,06
130407,肥乡区,13,04,07
130408,永年区,13,04,08
130423,临漳县,13,04,23
130424,成安县,13,04,24
130425,大名县,13,04,25
130426,涉县,13,04,26
130427,磁县,13,04,27
130430,邱县,13,04,30
130431,鸡泽县,13,04,31
130432,广平县,13,04,32
130433,馆陶县,13,04,33
130434,魏县,13,04,34
130435,曲周县,13,04,35
130481,武安市,13,04,81
130502,襄都区,13,05,02
130503,信都区,13,05,03
130505,任泽区,13,05,05
130506,南和区,13,05,06
130522,临城县,13,05,22
130523,内丘县,13,05,23
130524,柏乡县,13,05,24
130525,隆尧县,13,05,25
130528,宁晋县,13,05,28
130529,巨鹿县,13,05,29
130530,新河县,13,05,30
130531,广宗县,13,05,31
130532,平乡县,13,05,32
130533,威县,13,05,33
130534,清河县,13,05,34
130535,临西县,13,05,35
130581,南宫市,13,05,81
130582,沙河市,13,05,82
130602,竞秀区,13,06,02
130606,莲池区,13,06,06
130607,满城区,13,06,07
130608,清苑区,13,06,08
130609,徐水区,13,06,09
130623,涞水县,13,06,23
130624,阜平县,13,06,24
130626,定兴县,13,06,26
130627,唐县,13,06,27
130628,高阳县,13,06,28
130629,容城县,13,06,29
130630,涞源县,13,06,30
130631,望都县,13,06,31
130632,安新县,13,06,32
130633,易县,13,06,33
130634,曲阳县,13,06,34
130635,蠡县,13,06,35
130636,顺平县,13,06,36
130637,博野县,13,06,37
130638,雄县,13,06,38
130681,涿州市,13,06,81
130682,定州市,13,06,82
130683,安国市,13,06,83
130684,高碑店市,13,06,84
130702,桥东区,13,07,02
130703,桥西区,13,07,03
130705,宣化区,13,07,05
130706,下花园区,13,07,06
130708,万全区,13,07,08
130709,崇礼区,13,07,09
130722,张北县,13,07,22
130723,康保县,13,07,23
130724,沽源县,13,07,24
130725,尚义县,13,07,25
130726,蔚县,13,07,26
130727,阳原县,13,07,27
130728,怀安县,13,07,28
130730,怀来县,13,07,30
130731,涿鹿县,13,07,31
130732,赤城县,13,07,32
130802,双桥区,13,08,02
130803,双滦区,13,08,03
130804,鹰手营子矿区,13,08,04
130821,承德县,13,08,21
130822,兴隆县,13,08,22
130824,滦平县,13,08,24
130825,隆化县,13,08,25
130826,丰宁满族自治县,13,08,26
130827,宽城满族自治县,13,08,27
130828,围场满族蒙古族自治县,13,08,28
130881,平泉市,13,08,81
130902,新华区,13,09,02
130903,运河区,13,09,03
130921,沧县,13,09,21
130922,青县,13,09,22
130923,东光县,13,09,23
130924,海兴县,13,09,24
130925,盐山县,13,09,25
130926,肃宁县,13,09,26
130927,南皮县,13,09,27
130928,吴桥县,13,09,28
130929,献县,13,09,29
130930,孟村回族自治县,13,09,30
130981,泊头市,13,09,81
130982,任丘市,13,09,82
130983,黄骅市,13,09,83
130984,河间市,13,09,84
131002,安次区,13,10,02
131003,广阳区,13,10,03
131022,固安县,13,10,22
131023,永清县,13,10,23
131024,香河县,13,10,24
131025,大城县,13,10,25
131026,文安县,13,10,26
131028,大厂回族自治县,13,10,28
131081,霸州市,13,10,81
131082,三河市,13,10,82
131102,桃城区,13,11,02
131103,冀州区,13,11,03
131121,枣强县,13,11,21
131122,武邑县,13,11,22
131123,武强县,13,11,23
131124,饶阳县,13,11,24
131125,安平县,13,11,25
131126,故城县,13,11,26
131127,景县,13,11,27
131128,阜城县,13,11,28
131182,深州市,13,11,82
140105,小店区,14,01,05
140106,迎泽区,14,01,06
140107,杏花岭区,14,01,07
140108,尖草坪区,14,01,08
140109,万柏林区,14,01,09
140110,晋源区,14,01,10
140121,清徐县,14,01,21
140122,阳曲县,14,01,22
140123,娄烦县,14,01,23
140181,古交市,14,01,81
140212,新荣区,14,02,12
140213,平城区,14,02,13
140214,云冈区,14,02,14
140215,云州区,14,02,15
140221,阳高县,14,02,21
140222,天镇县,14,02,22
140223,广灵县,14,02,23
140224,灵丘县,14,02,24
140225,浑源县,14,02,25
140226,左云县,14,02,26
140302,城区,14,03,02
140303,矿区,14,03,03
140311,郊区,14,03,11
140321,平定县,14,03,21
140322,盂县,14,03,22
140403,潞州区,14,04,03
140404,上党区,14,04,04
140405,屯留区,14,04,05
140406,潞城区,14,04,06
140423,襄垣县,14,04,23
140425,平顺县,14,04,25
140426,黎城县,14,04,26
140427,壶关县,14,04,27
140428,长子县,14,04,28
140429,武乡县,14,04,29
140430,沁县,14,04,30
140431,沁源县,14,04,31
140502,城区,14,05,02
140521,沁水县,14,05,21
