code,name,province
110000,北京市,11
120000,天津市,12
130000,河北省,13
140000,山西省,14
150000,内蒙古自治区,15
210000,辽宁省,21
220000,吉林省,22
230000,黑龙江省,23
310000,上海市,31
320000,江苏省,32
330000,浙江省,33
340000,安徽省,34
350000,福建省,35
360000,江西省,36
370000,山东省,37
410000,河南省,41
420000,湖北省,42
430000,湖南省,43
440000,广东省,44
450000,广西壮族自治区,45
460000,海南省,46
500000,重庆市,50
510000,四川省,51
520000,贵州省,52
530000,云南省,53
540000,西藏自治区,54
610000,陕西省,61
620000,甘肃省,62
630000,青海省,63
640000,宁夏回族自治区,64
650000,新疆维吾尔自治区,65
710000,台湾省,71
810000,香港特别行政区,81
820000,澳门特别行政区,82
